,date,passenger
0,2020-01-01,24647
1,2020-01-02,30655
2,2020-01-03,26189
3,2020-01-04,32569
4,2020-01-05,29914
5,2020-01-06,26265
6,2020-01-07,25463
7,2020-01-08,24831
8,2020-01-09,26020
9,2020-01-10,24306
10,2020-01-11,29660
11,2020-01-12,28266
12,2020-01-13,26828
13,2020-01-14,25079
14,2020-01-15,26993
15,2020-01-16,27363
16,2020-01-17,25693
17,2020-01-18,33016
18,2020-01-19,27247
19,2020-01-20,25810
20,2020-01-21,27365
21,2020-01-22,28581
22,2020-01-23,28192
23,2020-01-24,24224
24,2020-01-25,24498
25,2020-01-26,31721
26,2020-01-27,29192
27,2020-01-28,28999
28,2020-01-29,26174
29,2020-01-30,21857
30,2020-01-31,18121
31,2020-02-01,20566
32,2020-02-02,18487
33,2020-02-03,17187
34,2020-02-04,13411
35,2020-02-05,15759
36,2020-02-06,13442
37,2020-02-07,13984
38,2020-02-08,14187
39,2020-02-09,16533
40,2020-02-10,16266
41,2020-02-11,13464
42,2020-02-12,13615
43,2020-02-13,14773
44,2020-02-14,15188
45,2020-02-15,18843
46,2020-02-16,22734
47,2020-02-17,21604
48,2020-02-18,16994
49,2020-02-19,20076
50,2020-02-20,22410
51,2020-02-21,23633
52,2020-02-22,21992
53,2020-02-23,24546
54,2020-02-24,19732
55,2020-02-25,15250
56,2020-02-26,12165
57,2020-02-27,11560
58,2020-02-28,11500
59,2020-02-29,11043
60,2020-03-01,12066
61,2020-03-02,13724
62,2020-03-03,10943
63,2020-03-04,10975
64,2020-03-05,12625
65,2020-03-06,13836
66,2020-03-07,13669
67,2020-03-08,14416
68,2020-03-09,15311
69,2020-03-10,11950
70,2020-03-11,12339
71,2020-03-12,14110
72,2020-03-13,15494
73,2020-03-14,15050
74,2020-03-15,16293
75,2020-03-16,17615
76,2020-03-17,15258
77,2020-03-18,14441
78,2020-03-19,14593
79,2020-03-20,14690
80,2020-03-21,13352
81,2020-03-22,16412
82,2020-03-23,14960
83,2020-03-24,12171
84,2020-03-25,11804
85,2020-03-26,11623
86,2020-03-27,10692
87,2020-03-28,9533
88,2020-03-29,14799
89,2020-03-30,12767
90,2020-03-31,11412
